iReady_Index,iReady_Admin,Campus,Tier_Level,Tier_Level_Count,Total,Percentage
1.0,iReady 1,ES,Tier 1,82,481,0.17
1.1,iReady 2,ES,Tier 1,202,504,0.4
1.2,iReady 3,ES,Tier 1,277,516,0.54
1.3,iReady 1,ES,Tier 2,237,481,0.49
1.4,iReady 2,ES,Tier 2,202,504,0.4
1.5,iReady 3,ES,Tier 2,167,516,0.32
1.6,iReady 1,ES,Tier 3,162,481,0.34
1.7,iReady 2,ES,Tier 3,100,504,0.2
1.8,iReady 3,ES,Tier 3,72,516,0.14
1.0,iReady 1,HS,Tier 1,70,284,0.25
1.1,iReady 2,HS,Tier 1,69,282,0.24
1.2,iReady 3,HS,Tier 1,80,280,0.29
1.3,iReady 1,HS,Tier 2,54,284,0.19
1.4,iReady 2,HS,Tier 2,64,282,0.23
1.5,iReady 3,HS,Tier 2,68,280,0.24
1.6,iReady 1,HS,Tier 3,160,284,0.56
1.7,iReady 2,HS,Tier 3,149,282,0.53
1.8,iReady 3,HS,Tier 3,132,280,0.47
1.0,iReady 1,MS,Tier 1,73,244,0.3
1.1,iReady 2,MS,Tier 1,92,248,0.37
1.2,iReady 3,MS,Tier 1,106,253,0.42
1.3,iReady 1,MS,Tier 2,46,244,0.19
1.4,iReady 2,MS,Tier 2,77,248,0.31
1.5,iReady 3,MS,Tier 2,65,253,0.26
1.6,iReady 1,MS,Tier 3,125,244,0.51
1.7,iReady 2,MS,Tier 3,79,248,0.32
1.8,iReady 3,MS,Tier 3,82,253,0.32
