iReady_Index,Student_Grade,iReady_Admin,Proficiency,Proficiency_Count,Total,Percentage
1.0,0,iReady 1,On Grade Level,10,67,0.15
1.0,1,iReady 1,On Grade Level,15,84,0.18
1.0,2,iReady 1,On Grade Level,7,85,0.08
1.0,3,iReady 1,On Grade Level,24,79,0.3
1.0,4,iReady 1,On Grade Level,15,82,0.18
1.0,5,iReady 1,On Grade Level,11,84,0.13
1.0,6,iReady 1,On Grade Level,19,80,0.24
1.0,7,iReady 1,On Grade Level,25,83,0.3
1.0,8,iReady 1,On Grade Level,29,81,0.36
1.0,9,iReady 1,On Grade Level,26,78,0.33
1.0,10,iReady 1,On Grade Level,14,74,0.19
1.0,11,iReady 1,On Grade Level,15,60,0.25
1.0,12,iReady 1,On Grade Level,15,72,0.21
1.01,0,iReady 2,On Grade Level,27,83,0.33
1.01,1,iReady 2,On Grade Level,26,84,0.31
1.01,2,iReady 2,On Grade Level,9,85,0.11
1.01,3,iReady 2,On Grade Level,7,84,0.08
1.01,4,iReady 2,On Grade Level,7,84,0.08
1.01,5,iReady 2,On Grade Level,9,84,0.11
1.01,6,iReady 2,On Grade Level,15,83,0.18
1.01,7,iReady 2,On Grade Level,18,84,0.21
1.01,8,iReady 2,On Grade Level,18,81,0.22
1.01,9,iReady 2,On Grade Level,11,78,0.14
1.01,10,iReady 2,On Grade Level,10,75,0.13
1.01,11,iReady 2,On Grade Level,4,60,0.07
1.01,12,iReady 2,On Grade Level,2,69,0.03
1.02,0,iReady 3,On Grade Level,50,90,0.56
1.02,1,iReady 3,On Grade Level,39,91,0.43
1.02,2,iReady 3,On Grade Level,21,88,0.24
1.02,3,iReady 3,On Grade Level,15,82,0.18
1.02,4,iReady 3,On Grade Level,18,83,0.22
1.02,5,iReady 3,On Grade Level,10,82,0.12
1.02,6,iReady 3,On Grade Level,22,83,0.27
1.02,7,iReady 3,On Grade Level,17,84,0.2
1.02,8,iReady 3,On Grade Level,26,86,0.3
1.02,9,iReady 3,On Grade Level,13,78,0.17
1.02,10,iReady 3,On Grade Level,8,77,0.1
1.02,11,iReady 3,On Grade Level,7,59,0.12
1.02,12,iReady 3,On Grade Level,4,66,0.06
1.03,0,iReady 4,On Grade Level,60,82,0.73
1.03,1,iReady 4,On Grade Level,38,83,0.46
1.03,2,iReady 4,On Grade Level,25,83,0.3
1.03,3,iReady 4,On Grade Level,20,80,0.25
1.03,4,iReady 4,On Grade Level,21,82,0.26
1.03,5,iReady 4,On Grade Level,9,81,0.11
1.03,6,iReady 4,On Grade Level,22,83,0.27
1.03,7,iReady 4,On Grade Level,22,80,0.28
1.03,8,iReady 4,On Grade Level,25,83,0.3
1.03,9,iReady 4,On Grade Level,11,59,0.19
1.03,10,iReady 4,On Grade Level,8,57,0.14
1.03,11,iReady 4,On Grade Level,8,39,0.21
