iReady_Index,iReady_Admin,student_grade,Tier_Level,Tier_Level_Count,Total,Percentage
1.0,iReady 1,0,Tier 1,10,67,0.15
1.1,iReady 2,0,Tier 1,61,83,0.73
1.2,iReady 3,0,Tier 1,80,90,0.89
1.3,iReady 1,0,Tier 2,57,67,0.85
1.4,iReady 2,0,Tier 2,22,83,0.27
1.5,iReady 3,0,Tier 2,10,90,0.11
1.0,iReady 1,1,Tier 1,15,84,0.18
1.1,iReady 2,1,Tier 1,37,84,0.44
1.2,iReady 3,1,Tier 1,54,91,0.59
1.3,iReady 1,1,Tier 2,64,84,0.76
1.4,iReady 2,1,Tier 2,47,84,0.56
1.5,iReady 3,1,Tier 2,37,91,0.41
1.6,iReady 1,1,Tier 3,5,84,0.06
1.0,iReady 1,2,Tier 1,7,85,0.08
1.1,iReady 2,2,Tier 1,23,85,0.27
1.2,iReady 3,2,Tier 1,41,88,0.47
1.3,iReady 1,2,Tier 2,37,85,0.44
1.4,iReady 2,2,Tier 2,48,85,0.56
1.5,iReady 3,2,Tier 2,41,88,0.47
1.6,iReady 1,2,Tier 3,41,85,0.48
1.7,iReady 2,2,Tier 3,14,85,0.16
1.8,iReady 3,2,Tier 3,6,88,0.07
1.0,iReady 1,3,Tier 1,24,79,0.3
1.1,iReady 2,3,Tier 1,38,84,0.45
1.2,iReady 3,3,Tier 1,45,82,0.55
1.3,iReady 1,3,Tier 2,22,79,0.28
1.4,iReady 2,3,Tier 2,21,84,0.25
1.5,iReady 3,3,Tier 2,15,82,0.18
1.6,iReady 1,3,Tier 3,33,79,0.42
1.7,iReady 2,3,Tier 3,25,84,0.3
1.8,iReady 3,3,Tier 3,22,82,0.27
1.0,iReady 1,4,Tier 1,15,82,0.18
1.1,iReady 2,4,Tier 1,19,84,0.23
1.2,iReady 3,4,Tier 1,32,83,0.39
1.3,iReady 1,4,Tier 2,33,82,0.4
1.4,iReady 2,4,Tier 2,45,84,0.54
1.5,iReady 3,4,Tier 2,36,83,0.43
1.6,iReady 1,4,Tier 3,34,82,0.41
1.7,iReady 2,4,Tier 3,20,84,0.24
1.8,iReady 3,4,Tier 3,15,83,0.18
1.0,iReady 1,5,Tier 1,11,84,0.13
