iReady_Admin ,Subject ,Student ID,Student Grade,Academic Year,Enrolled,Sex,Hispanic or Latino,Race,English Language Learner,Special Education,Economically Disadvantaged,Migrant,Class(es),Class Teacher(s),Report Group(s),Start Date,Completion Date,Baseline Diagnostic (Y/N),Most Recent Diagnostic (Y/N),Duration (min),Rush Flag,Overall Scale Score,Overall Placement,Overall Relative Placement,Percentile,Grouping,Lexile Measure,Lexile Range,Phonological Awareness Scale Score,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Scale Score,Phonics Placement,Phonics Relative Placement,High-Frequency Words Scale Score,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Scale Score,Vocabulary Placement,Vocabulary Relative Placement,Reading Comprehension: Overall Scale Score,Reading Comprehension: Overall Placement,Reading Comprehension: Overall Relative Placement,Reading Comprehension: Literature Scale Score,Reading Comprehension: Literature Placement,Reading Comprehension: Literature Relative Placement,Reading Comprehension: Informational Text Scale Score,Reading Comprehension: Informational Text Placement,Reading Comprehension: Informational Text Relative Placement,Diagnostic Gain,Annual Typical Growth Measure,Annual Stretch Growth Measure,Percent Progress to Annual Typical Growth (%),Percent Progress to Annual Stretch Growth (%),Mid On Grade Level Scale Score,Reading Difficulty Indicator (Y/N)
iReady 1,ELA,3682016,9,2022-2023,Enrolled,male,N,Two or More Races,,,,,Biology - Bello - Ninth Period-62dae14231c91676147071c0; English 9 - Biggs - Third Period-62dae14431c91676147072be; Freshman Seminar - Triolo - Fifth Period-62dae13b31c9167614706e42; Geometry Honors - Rogers - Sixth Period B-62dae15331c91676147079e1; World History - Jones - Tenth Period-62dae13b31c9167614706e62,"Bello, Vincent; Biggs, Tyasia; Jones, Isiah; Rogers, Danny; Triolo, Matthew",,09/13/2022,09/13/2022,Y,Y,53,,679,Mid 9,Mid or Above Grade Level,91,,1455L,1355L-1505L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,692,Mid / Late 9,Mid or Above Grade Level,672,Mid / Late 9,Mid or Above Grade Level,672,Mid / Late 9,Mid or Above Grade Level,671,Mid / Late 9,Mid or Above Grade Level,0,4,13,0,0,,Not Applicable
iReady 1,ELA,3712016,11,2022-2023,Enrolled,female,N,Black or African American,,,,,AP Language & Composition - Lobis - Ninth Period-62dae14a31c9167614707598; Financial Literacy - Benavides - First Period-62dae14431c9167614707299; Physical Science - Dumas - Eighth Period-62dae15131c916761470788c; Pre-Calculus Honors - Bloom - Fifth Period-62dae14b31c91676147075fb; US History I - Jones - Third Period-62dae13f31c916761470702c,"Benavides, Edwin; Bloom, Laura; Dougba, Varsha; Dumas, Nyasia; Helmstetter, Daniel; Jones, Isiah; Lobis, Steven; Williams, Courtney",11th Grade Reading; All Students Reading,09/12/2022,09/13/2022,Y,Y,80,,652,Level 10,1 Grade Level Below,,,1325L,1225L-1375L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,655,Level 10,1 Grade Level Below,651,Level 10,1 Grade Level Below,655,Level 10,1 Grade Level Below,647,Level 10,1 Grade Level Below,0,9,25,0,0,,Not Applicable
iReady 1,ELA,1012014,8,2022-2023,Enrolled,male,N,Black or African American,,,,,"ELA 8 - Hutchinson - Period 3-6306414edec4186a935552a8; Mathematics 8 - Nelson - Period 13-630647b14839ae3b4b0b9d30; Science 8 - Peoples - Period 8-63064681dbb9dd4f943007a2; Social Studies, History, and Geography 8 - Henry - Period 10-63065a5c19a57649536a7386","Abdul-Quddus, Summiya; Henry, Christopher; Hutchinson, Yannique; Nelson, Jaclyn; Otero, Jasmine; Peoples, Damon",All MS Scholars; All MS Students,44816,44816,Y,Y,35,,625,Early 8,Early On Grade Level,64,3,1125L,1025L - 1175L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,598,Level 7,1 Grade Level Below,630,Early 8,Early On Grade Level,649,Mid 8,Mid or Above Grade Level,615,Level 7,1 Grade Level Below,0,4,22,0,0,642,Not Provided
iReady 1,ELA,1552015,7,2022-2023,Enrolled,female,Y,Hispaninc or Latino ,,,,,"ELA 7 - Fergusson - Period 13-6306414edec4186a935552a2; Mathematics 7 - Farrell - Period 5-630647b14839ae3b4b0b9d2a; Science 7 - Kelley - Period 8-63064681dbb9dd4f943007a4; Social Studies, History, and Geography 7 - Henry - Period 3-63065a5c19a57649536a7388","Abdul-Quddus, Summiya; Erstein, Kali; Farrell, Maura; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Otero, Jasmine",All MS Scholars; All MS Students,09/12/2022,09/12/2022,Y,Y,106,,634,Mid 7,Mid or Above Grade Level,82,5,1165L,1065L-1215L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,642,Mid 7,Mid or Above Grade Level,630,Early 7,Early On Grade Level,632,Mid 7,Mid or Above Grade Level,628,Early 7,Early On Grade Level,0,4,14,0,0,632,Not Provided
iReady 1,ELA,1842019,12,2022-2023,Enrolled,female,Y,Hispaninc or Latino ,,,,,English 12 Honors - Agyeman - Fourth Period-62dae15431c9167614707a63; Financial Literacy - Benavides - Eighth Period-62dae13331c9167614706a62; Pre-Calculus Honors - Bloom - Fifth Period-62dae14b31c91676147075fb; Senior Seminar - Agyeman - Third Period-62dae15131c91676147078b1; US History II - Marchesano - Second Period-62dae13d31c9167614706f23,"Agyeman, Courtney; Benavides, Edwin; Bloom, Laura; Helmstetter, Daniel; Marchesano, Steven; Salvetta, John; Triolo, Matthew; Williams, Courtney",12th Grade Reading; All Students Reading,09/12/2022,09/13/2022,Y,Y,64,,661,Level 11,1 Grade Level Below,,,1370L,1270L-1420L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,651,Level 11,1 Grade Level Below,667,Level 11,1 Grade Level Below,668,Early 12,Early On Grade Level,666,Level 11,1 Grade Level Below,0,9,25,0,0,,Not Applicable
iReady 1,ELA,1002017,5,2022-2023,Enrolled,female,N,Black or African American,,,,,Mathematics 5 - Crowell - Period 8-62f2b003e760951681540015; Reading 5 - Yentema - Period 11-62f2b003e760951681540004; Science 5 - Yentema - Period 7-62f2b003e76095168153fff9,"Crowell, Siani; Moore, Andrea; Yentema, Jessica",All IS Reading,09/12/2022,09/12/2022,Y,Y,55,,544,Level 4,1 Grade Level Below,39,3,760L,660L-810L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,543,Level 4,1 Grade Level Below,545,Level 4,1 Grade Level Below,590,Early 5,Early On Grade Level,495,Level 2,3 or More Grade Levels Below,0,16,30,0,0,609,Not Provided
iReady 1,ELA,3332015,8,2022-2023,Enrolled,male,Y,Hispaninc or Latino ,,,,,"Algebra I - Nelson - Period 7-6307bc3276048d5eab5c5f18; ELA 8 - Hutchinson - Period 11-6306414edec4186a935552a1; Science 8 - Peoples - Period 3-63064681dbb9dd4f943007a6; Social Studies, History, and Geography 8 - Henry - Period 5-63065a5c19a57649536a7385","Abdul-Quddus, Summiya; Henry, Christopher; Hutchinson, Yannique; Nelson, Jaclyn; Otero, Jasmine; Peoples, Damon",All MS Scholars; All MS Students; MS SWA 8,09/12/2022,09/12/2022,Y,Y,155,Yellow Rush Flag,590,Level 6,2 Grade Levels Below,39,4,965L,865L - 1015L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,637,Early 8,Early On Grade Level,564,Level 5,3 or More Grade Levels Below,504,Level 3,3 or More Grade Levels Below,591,Level 6,2 Grade Levels Below,0,12,36,0,0,642,Not Provided
iReady 1,ELA,1562015,7,2022-2023,Enrolled,male,Y,Hispaninc or Latino ,,,,,"ELA 7 - Fergusson - Period 3-6306414edec4186a935552a5; Mathematics 7 - Farrell - Period 8-630647b14839ae3b4b0b9d2c; Science 7 - Peoples - Period 14-63064681dbb9dd4f943007a0; Social Studies, History, and Geography 7 - Erstein - Period 11-63065a5c19a57649536a738a","Abdul-Quddus, Summiya; Erstein, Kali; Farrell, Maura; Fergusson, Devin; Henry, Christopher; Otero, Jasmine; Peoples, Damon",All MS Scholars; All MS Students; MS SWA 7,09/12/2022,09/12/2022,Y,Y,96,,572,Level 5,2 Grade Levels Below,37,3,885L,785L-935L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,585,Level 6,1 Grade Level Below,566,Level 5,2 Grade Levels Below,564,Level 5,2 Grade Levels Below,568,Level 5,2 Grade Levels Below,0,12,37,0,0,632,Not Provided
iReady 1,ELA,2372014,12,2022-2023,Enrolled,male,Y,Hispaninc or Latino ,,,,,English 12 Honors - Agyeman - Fourth Period-62dae15431c9167614707a63; Financial Literacy - Benavides - Seventh Period A-62dae13631c9167614706bc4; Integrated Math - Rogers - Fifth Period-62dae15431c9167614707a23; Senior Seminar - Agyeman - Third Period-62dae15131c91676147078b1; US History II - Marchesano - Second Period-62dae13d31c9167614706f23,"Agyeman, Courtney; Benavides, Edwin; Floyd, Jacquelyne; Helmstetter, Daniel; Marchesano, Steven; Rogers, Danny; Salvetta, John; Triolo, Matthew; Williams, Courtney",12th Grade Reading; All Students Reading,09/12/2022,09/12/2022,Y,Y,28,,691,Early 12,Early On Grade Level,,,1515L,1415L-1565L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,692,Early 12,Early On Grade Level,691,Early 12,Early On Grade Level,693,Early 12,Early On Grade Level,689,Early 12,Early On Grade Level,0,4,22,0,0,,Not Applicable
iReady 1,ELA,1002023,K,2022-2023,Enrolled,male,Y,Hispaninc or Latino ,,,,,Mathematics K - Eugene - Period 14-62f693766c6b433381175d31; Reading K - Eugene - Period 5-62fa4e36c252017f1f56294b; Science K - Eugene - Period 10-62fbb3244ef1494353591b4e,"Eugene, Christina; Mason, Sesheni",All PS Reading; Primary School,9/12/2022,9/15/2022,Y,Y,26,,331,Emerging K,1 Grade Level Below,32,1,BR400L,BR400L,325,Emerging K,1 Grade Level Below,311,Emerging K,1 Grade Level Below,324,Emerging K,1 Grade Level Below,338,Emerging K,1 Grade Level Below,343,Emerging K,1 Grade Level Below,327,Emerging K,1 Grade Level Below,360,Emerging K,1 Grade Level Below,0,49,67,0,0,396,N
