iReady_Admin,Subject,Student ID,Student Grade,Academic Year,Enrolled,Sex,Hispanic or Latino,Race,English Language Learner,Special Education,Economically Disadvantaged,Migrant,Class(es),Class Teacher(s),Report Group(s),Start Date,Completion Date,Baseline Diagnostic (Y/N),Most Recent Diagnostic (Y/N),Duration (min),Rush Flag,Overall Scale Score,Overall Placement,Overall Relative Placement,Percentile,Grouping,Lexile Measure,Lexile Range,Phonological Awareness Scale Score,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Scale Score,Phonics Placement,Phonics Relative Placement,High-Frequency Words Scale Score,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Scale Score,Vocabulary Placement,Vocabulary Relative Placement,Reading Comprehension: Overall Scale Score,Reading Comprehension: Overall Placement,Reading Comprehension: Overall Relative Placement,Reading Comprehension: Literature Scale Score,Reading Comprehension: Literature Placement,Reading Comprehension: Literature Relative Placement,Reading Comprehension: Informational Text Scale Score,Reading Comprehension: Informational Text Placement,Reading Comprehension: Informational Text Relative Placement,Diagnostic Gain,Annual Typical Growth Measure,Annual Stretch Growth Measure,Percent Progress to Annual Typical Growth (%),Percent Progress to Annual Stretch Growth (%),Mid On Grade Level Scale Score,Reading Difficulty Indicator (Y/N),Proficiency if Student Shows No Additional Growth,Projection if Student Achieves Typical Growth,Projection if Student Achieves Stretch Growth
iReady 2,ELA,3712016,11,2022-2023,Enrolled,female,N,Black or African American,,,,,AP Language & Composition - Lobis - Ninth Period-62dae14a31c9167614707598; College Prep II - Agyeman - First Period-62dae13331c9167614706a3d; Financial Literacy - Benavides - First Period-62dae14431c9167614707299; Physical Education/Health 11 - Torino - Second Period-62dae13f31c9167614707007; Physical Science - Dumas - Eighth Period-62dae15131c916761470788c; Pre-Calculus Honors - Bloom - Fifth Period-62dae14b31c91676147075fb; Spanish Honors III - Anzures - Fourth Period-62dae13931c9167614706d6d; US History I - Jones - Third Period-62dae13f31c916761470702c,"Agyeman, Courtney; Benavides, Edwin; Bloom, Laura; Dougba, Varsha; Dumas, Nyasia; Helmstetter, Daniel; Lobis, Steven; Salvetta, John; Simms, Ashley; Steen, Michael; Torino, Christian; Williams, Courtney",11th Grade Reading; All Students Reading,1/24/2023,1/26/2023,N,Y,178,,659,Level 10,1 Grade Level Below,,,1360L,1260L-1410L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,714,Mid / Late 11,Mid or Above Grade Level,631,Level 9,2 Grade Levels Below,670,Early 11,Early On Grade Level,575,Level 5,3 or More Grade Levels Below,7,9,25,,,,Not Applicable,,,
iReady 2,ELA,2012020,7,2022-2023,Enrolled,female,Y,,,,,,"Current Events 7 - Joyner - Period 3-639230c7d60ac242f53d6983; ELA 7 - Fergusson - Period 8-6306414edec4186a935552a4; Homeroom 7 - Robinson - Homeroom MS-62c47c737082816f437258d1; Mathematics 7 - Abdul-Quddus - Period 13-630647b14839ae3b4b0b9d2b; Science 7 - Kelley - Period 5-63064681dbb9dd4f943007a3; Social Studies, History, and Geography 7 - Erstein - Period 7-63065a5c19a57649536a7387","Abdul-Quddus, Summiya; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; Otero, Jasmine; Peoples, Damon; Robinson, LaShun; Thompson, Angiana",All MS Scholars; All MS Students,1/27/2023,1/30/2023,N,Y,94,,638,Mid 7,Mid or Above Grade Level,79,5,1185L,1085L-1235L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,637,Mid 7,Mid or Above Grade Level,639,Mid 7,Mid or Above Grade Level,634,Mid 7,Mid or Above Grade Level,644,Mid 7,Mid or Above Grade Level,0,4,14,0,0,632,Not Provided,Level 4,Level 4,Level 4
iReady 2,ELA,1012014,8,2022-2023,Enrolled,male,N,Black or African American,,,,,"Algebra I - Nelson - Period 13-630647b14839ae3b4b0b9d30; Current Events 8 - Joyner - Period 11-639232b2f0d9f002dd40f468; ELA 8 - Hutchinson - Period 3-6306414edec4186a935552a8; Homeroom 8 - Nelson - Homeroom MS-62c47c737082816f437258d0; Science 8 - Peoples - Period 8-63064681dbb9dd4f943007a2; Social Studies, History, and Geography 8 - Henry - Period 10-63065a5c19a57649536a7386","Abdul-Quddus, Summiya; Davis, Georgette; Henry, Christopher; Hutchinson, Yannique; Lightfoot, Shea; Nelson, Jaclyn; Otero, Jasmine; Peoples, Damon; Robinson, LaShun; Thompson, Angiana",All MS Scholars; All MS Students,1/24/2023,1/24/2023,N,Y,8,Red Rush Flag,386,Level K,3 or More Grade Levels Below,1,1,40L,BR60L-90L,,Tested Out,Mid or Above Grade Level,347,Level K,3 or More Grade Levels Below,332,Level K,3 or More Grade Levels Below,489,Level 2,3 or More Grade Levels Below,390,Level K,3 or More Grade Levels Below,414,Level K,3 or More Grade Levels Below,368,Level K,3 or More Grade Levels Below,0,4,22,0,0,642,Not Provided,Level 2,Level 2,Level 2
iReady 2,ELA,1992021,1,2022-2023,Enrolled,female,,White,,,,,ESL Grade 1 - Dougherty - Period 13-6329fc7de51efa2b5b21c3af; Homeroom 1 - Goodman - Homeroom PS-62c47c737082816f437258e5; Mathematics 1 - McMillan - Period 8-62f693a71f27ae5a02559a10; Reading 1 - McMillan - Period 3-6310fe0c96c9c7538f12ac27; Science 1 - Goodman - Period 13-62fa506e8914f13d8a6cb7f7; Small Group Instruction/What I Need 1 - McMillan - Period 15-631f5aa2e9d0bd691b5b2305; Small Group Instruction/What I Need 1 - McMillan - Period 6-631f44ebfd89496cd87e2dc0; Structured Play 1 - Gonzalez Giraldo - Period 8-62f693a71f27ae5a02559a0d,"Brady, Jacquelyn; Dougherty, Erin; Gonzalez Giraldo, Isabella; Goodman, Brandy; McMillan, Sharone",1st Grade Reading; All PS Reading; Primary School,1/24/2023,1/27/2023,N,Y,90,,474,Mid 1,Mid or Above Grade Level,81,5,265L,165L-315L,431,Early 1,Early On Grade Level,486,Late 1,Mid or Above Grade Level,566,Max Score,Mid or Above Grade Level,453,Early 1,Early On Grade Level,464,Mid 1,Mid or Above Grade Level,466,Mid 1,Mid or Above Grade Level,463,Mid 1,Mid or Above Grade Level,76,49,67,155,113,458,N,,,
iReady 2,ELA,1842019,12,2022-2023,Enrolled,female,Y,,,,,,English 12 Honors - Agyeman - Fourth Period-62dae15431c9167614707a63; Financial Literacy - Benavides - Eighth Period-62dae13331c9167614706a62; Physical Education/Health 12 - Torino - First Period-62dae14e31c9167614707788; Pre-Calculus Honors - Bloom - Fifth Period-62dae14b31c91676147075fb; Senior Seminar - Agyeman - Third Period-62dae15131c91676147078b1; US Government & Civics - Triolo - Third Period-62de8430f4d0bd5b0112d004; US History II - Marchesano - Second Period-62dae13d31c9167614706f23,"Agyeman, Courtney; Benavides, Edwin; Bloom, Laura; Dougba, Varsha; Dumas, Nyasia; Helmstetter, Daniel; Marchesano, Steven; Salvetta, John; Torino, Christian; Triolo, Matthew; Williams, Courtney",12th Grade Reading; All Students Reading,1/24/2023,1/24/2023,N,Y,81,,653,Level 11,1 Grade Level Below,,,1330L,1230L-1380L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,629,Level 9,3 or More Grade Levels Below,665,Level 11,1 Grade Level Below,635,Level 9,3 or More Grade Levels Below,702,Early 12,Early On Grade Level,0,9,25,,,,Not Applicable,,,
iReady 2,ELA,1002017,5,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 5 - Yentema - Homeroom IS-62c47c737082816f437258d6; Mathematics 5 - Crowell - Period 8-62f2b003e760951681540015; Reading 5 - Yentema - Period 11-62f2b003e760951681540004; Science 5 - Yentema - Period 7-62f2b003e76095168153fff9; Small Group Instruction/What I Need 5 - Yentema - Period 5-62f6a39a9d2533345d748d90,"Crowell, Siani; Moore, Andrea; Yentema, Jessica",5th Grade Reading; All IS Reading,1/24/2023,1/24/2023,N,Y,52,,575,Level 4,1 Grade Level Below,54,3,900L,800L-950L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,580,Level 4,1 Grade Level Below,573,Level 4,1 Grade Level Below,566,Level 4,1 Grade Level Below,579,Level 4,1 Grade Level Below,31,16,30,194,103,609,Not Provided,Level 3,Level 4,Level 4
iReady 2,ELA,1562015,7,2022-2023,Enrolled,male,Y,,,,,,"Current Events 7 - Joyner - Period 5-63923060f10539797e54e91b; ELA 7 - Fergusson - Period 3-6306414edec4186a935552a5; Homeroom 7 - Abdul-Quddus - Homeroom MS-62c47c737082816f437258d4; Mathematics 7 - Abdul-Quddus - Period 8-630647b14839ae3b4b0b9d2c; Science 7 - Peoples - Period 14-63064681dbb9dd4f943007a0; Social Studies, History, and Geography 7 - Erstein - Period 11-63065a5c19a57649536a738a","Abdul-Quddus, Summiya; DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Granato, Christina; Henry, Christopher; Lightfoot, Shea; Otero, Jasmine; Peoples, Damon; Robinson, LaShun; Thompson, Angiana",All MS Scholars; All MS Students; ELA 7 - SWA - Summiya; MS SWA 7,1/24/2023,1/24/2023,N,Y,184,,593,Level 6,1 Grade Level Below,44,4,980L,880L-1030L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,620,Early 7,Early On Grade Level,583,Level 6,1 Grade Level Below,567,Level 5,2 Grade Levels Below,596,Level 6,1 Grade Level Below,21,12,37,175,57,632,Not Provided,Level 3,Level 3,Level 4
iReady 2,ELA,3332015,8,2022-2023,Enrolled,male,Y,,,,,,"Current Events 8 - Joyner - Period 3-639232737ef25c47d65fbeb4; ELA 8 - Hutchinson - Period 11-6306414edec4186a935552a1; Homeroom 8 - Henry - Homeroom MS-62c47c737082816f437258ce; Mathematics 8 - Nelson - Period 7-6307bc3276048d5eab5c5f18; Science 8 - Peoples - Period 3-63064681dbb9dd4f943007a6; Social Studies, History, and Geography 8 - Henry - Period 5-63065a5c19a57649536a7385","Abdul-Quddus, Summiya; Davis, Georgette; Granato, Christina; Henry, Christopher; Hutchinson, Yannique; Lightfoot, Shea; Nelson, Jaclyn; Otero, Jasmine; Peoples, Damon; Robinson, LaShun; Thompson, Angiana",All MS Scholars; All MS Students; ELA 8 - SWA - Summiya; MS SWA 8,1/24/2023,1/24/2023,N,Y,201,,604,Level 7,1 Grade Level Below,41,3,1030L,930L - 1080L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,601,Level 7,1 Grade Level Below,605,Level 7,1 Grade Level Below,634,Early 8,Early On Grade Level,579,Level 5,3 or More Grade Levels Below,14,12,36,117,39,642,Not Provided,Level 3,Level 3,Level 4
iReady 2,ELA,2372014,12,2022-2023,Enrolled,male,Y,,,,,,Business Math - Rogers - Fifth Period-62dae15431c9167614707a23; English 12 Honors - Agyeman - Fourth Period-62dae15431c9167614707a63; Financial Literacy - Benavides - Seventh Period A-62dae13631c9167614706bc4; Literature of a People - Bello - Seventh Period A-62dae888d0efa0390845ba1c; Physical Education/Health 12 - Torino - First Period-62dae14e31c9167614707788; Senior Seminar - Agyeman - Third Period-62dae15131c91676147078b1; US Government & Civics - Triolo - Third Period-62de8430f4d0bd5b0112d004; US History II - Marchesano - Second Period-62dae13d31c9167614706f23,"Agyeman, Courtney; Bello, Vincent; Benavides, Edwin; Dougba, Varsha; Dumas, Nyasia; Helmstetter, Daniel; Marchesano, Steven; Rogers, Danny; Salvetta, John; Torino, Christian; Triolo, Matthew; Williams, Courtney",12th Grade Reading; All Students Reading,1/24/2023,1/24/2023,N,Y,63,,654,Level 11,1 Grade Level Below,,,1335L,1235L-1385L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,714,Mid / Late 12,Mid or Above Grade Level,626,Level 9,3 or More Grade Levels Below,628,Level 9,3 or More Grade Levels Below,624,Level 8,3 or More Grade Levels Below,0,9,25,,,,Not Applicable,,,
iReady 2,ELA,1002023,K,2022-2023,Enrolled,male,Y,White,,,,,ESL Grade K - Dougherty - Period 7-6329fa57e434967a59140d53; Homeroom K - Eugene - Homeroom PS-62c47c737082816f437258e1; Mathematics K - Eugene - Period 14-62f693766c6b433381175d31; Reading K - Eugene - Period 5-62fa4e36c252017f1f56294b; Science K - Eugene - Period 10-62fbb3244ef1494353591b4e; Small Group Instruction/What I Need K - Eugene - Period 13-62fa51354736b34e5e7da824; Small Group Instruction/What I Need K - Eugene - Period 3-62fa5465035865068d0f3f81; Structured Play K - Gonzalez Giraldo - Period 11-62f693766c6b433381175d2d,"Brady, Jacquelyn; Dougherty, Erin; Eugene, Christina; Gonzalez Giraldo, Isabella; Mason, Sesheni",All PS Reading; Kindergarten Reading; Primary School,1/25/2023,1/26/2023,N,Y,57,,339,Emerging K,1 Grade Level Below,17,2,BR400L,BR400L,325,Emerging K,1 Grade Level Below,314,Emerging K,1 Grade Level Below,312,Emerging K,1 Grade Level Below,394,Early K,Early On Grade Level,348,Emerging K,1 Grade Level Below,373,Early K,Early On Grade Level,324,Emerging K,1 Grade Level Below,8,49,67,16,12,396,N,,,
