iReady_Admin,Subject,Student ID,Student Grade,Academic Year,Enrolled,Sex,Hispanic or Latino,Race,English Language Learner,Special Education,Economically Disadvantaged,Migrant,Class(es),Class Teacher(s),Report Group(s),Start Date,Completion Date,Baseline Diagnostic (Y/N),Most Recent Diagnostic (Y/N),Duration (min),Rush Flag,Overall Scale Score,Overall Placement,Overall Relative Placement,Percentile,Grouping,Lexile Measure,Lexile Range,Phonological Awareness Scale Score,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Scale Score,Phonics Placement,Phonics Relative Placement,High-Frequency Words Scale Score,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Scale Score,Vocabulary Placement,Vocabulary Relative Placement,Reading Comprehension: Overall Scale Score,Reading Comprehension: Overall Placement,Reading Comprehension: Overall Relative Placement,Reading Comprehension: Literature Scale Score,Reading Comprehension: Literature Placement,Reading Comprehension: Literature Relative Placement,Reading Comprehension: Informational Text Scale Score,Reading Comprehension: Informational Text Placement,Reading Comprehension: Informational Text Relative Placement,Diagnostic Gain,Annual Typical Growth Measure,Annual Stretch Growth Measure,Percent Progress to Annual Typical Growth (%),Percent Progress to Annual Stretch Growth (%),Mid On Grade Level Scale Score,Reading Difficulty Indicator (Y/N)
iReady 4,ELA,1012014,8,2022-2023,Enrolled,male,N,Black or African American,,,,,"Algebra I - Nelson - Period 13-630647b14839ae3b4b0b9d30; Current Events 8 - Joyner - Period 11-639232b2f0d9f002dd40f468; ELA 8 - Fergusson - Period 3-6306414edec4186a935552a8; Homeroom 8 - Nelson - Homeroom MS-62c47c737082816f437258d0; Music 8 - Villamil Gomez - Period 6-63065c114d1c76105a6c2ef8; Science 8 - Davis - Period 8-63064681dbb9dd4f943007a2; Social Studies, History, and Geography 8 - Henry - Period 10-63065a5c19a57649536a7386","Davis, Georgette; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; Nelson, Jaclyn; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",8th Grade Reading; All MS Scholars; All MS Students; Sample,06/06/2023,06/06/2023,N,Y,27,Red Rush Flag,644,Mid 8,Mid or Above Grade Level,71,5,1215L,1115L - 1265L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,673,Late 8,Mid or Above Grade Level,628,Early 8,Early On Grade Level,648,Mid 8,Mid or Above Grade Level,604,Level 7,1 Grade Level Below,19,4,22,475,86,642,Not Provided
iReady 4,ELA,1552015,7,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,"Current Events 7 - Joyner - Period 13-63923111e86fa7519d6ba851; ELA 7 - McMillan - Period 13-6306414edec4186a935552a2; Homeroom 7 - Fergusson - Homeroom MS-62c47c737082816f437258cf; Mathematics 7 - DiPierro - Period 5-630647b14839ae3b4b0b9d2a; Music 7 - Villamil Gomez - Period 10-63065c114d1c76105a6c2efa; Science 7 - Kelley - Period 8-63064681dbb9dd4f943007a4; Social Studies, History, and Geography 7 - Henry - Period 3-63065a5c19a57649536a7388","DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; McMillan, Michele; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",7th Grade Reading; All MS Scholars; All MS Students; Sample,06/06/2023,06/06/2023,N,Y,107,,639,Mid 7,Mid or Above Grade Level,75,5,1190L,1090L-1240L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,635,Mid 7,Mid or Above Grade Level,641,Mid 7,Mid or Above Grade Level,636,Mid 7,Mid or Above Grade Level,646,Mid 7,Mid or Above Grade Level,5,4,14,125,36,632,Not Provided
iReady 4,ELA,1002017,5,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 5 - Yentema - Homeroom IS-62c47c737082816f437258d6; Mathematics 5 - Crowell - Period 8-62f2b003e760951681540015; Reading 5 - Yentema - Period 11-62f2b003e760951681540004; Science 5 - Yentema - Period 7-62f2b003e76095168153fff9; Small Group Instruction/What I Need 5 - Yentema - Period 5-62f6a39a9d2533345d748d90,"Crowell, Siani; Moore, Andrea; Yentema, Jessica",5th Grade Reading; All IS Reading; Catapult Tutoring with Added Students; Updated Catapult Tutoring,06/06/2023,06/06/2023,N,Y,86,,612,Mid 5,Mid or Above Grade Level,75,5,1065L,965L-1115L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,626,Mid 5,Mid or Above Grade Level,605,Early 5,Early On Grade Level,627,Mid 5,Mid or Above Grade Level,581,Early 5,Early On Grade Level,68,16,30,425,227,609,Not Provided
iReady 4,ELA,1562015,7,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,"Current Events 7 - Joyner - Period 5-63923060f10539797e54e91b; ELA 7 - McMillan - Period 3-6306414edec4186a935552a5; Homeroom 7 - Abdul-Quddus - Homeroom MS-62c47c737082816f437258d4; Mathematics 7 - DiPierro - Period 8-630647b14839ae3b4b0b9d2c; Music 7 - Villamil Gomez - Period 6-63065c114d1c76105a6c2efb; Science 7 - Davis - Period 14-63064681dbb9dd4f943007a0; Social Studies, History, and Geography 7 - Erstein - Period 11-63065a5c19a57649536a738a","Davis, Georgette; DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Lightfoot, Shea; McMillan, Michele; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",7th Grade Reading; All MS Scholars; All MS Students; ELA 7 - SWA - Summiya; MS IEP; MS SWA 7; MS Tier 2 iReady 2 ELA,06/06/2023,06/06/2023,N,Y,170,,602,Level 6,1 Grade Level Below,45,4,1020L,920L-1070L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,622,Early 7,Early On Grade Level,592,Level 6,1 Grade Level Below,603,Level 6,1 Grade Level Below,578,Level 5,2 Grade Levels Below,30,12,37,250,81,632,Not Provided
iReady 4,ELA,3332015,8,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,"Current Events 8 - Joyner - Period 3-639232737ef25c47d65fbeb4; ELA 8 - Fergusson - Period 11-6306414edec4186a935552a1; Homeroom 8 - Henry - Homeroom MS-62c47c737082816f437258ce; Mathematics 8 - Nelson - Period 7-6307bc3276048d5eab5c5f18; Music 8 - Villamil Gomez - Period 14-63065c114d1c76105a6c2ef6; Science 8 - Davis - Period 3-63064681dbb9dd4f943007a6; Social Studies, History, and Geography 8 - Henry - Period 5-63065a5c19a57649536a7385","Davis, Georgette; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; Nelson, Jaclyn; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",8th Grade Reading; All MS Scholars; All MS Students; ELA 8 - SWA - Summiya; MS IEP; MS SWA 8; MS Tier 2 iReady 2 ELA,06/08/2023,06/08/2023,N,Y,121,,624,Early 8,Early On Grade Level,52,4,1120L,1020L - 1170L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,667,Mid 8,Mid or Above Grade Level,601,Level 7,1 Grade Level Below,621,Early 8,Early On Grade Level,580,Level 5,3 or More Grade Levels Below,34,12,36,283,94,642,Not Provided
iReady 4,ELA,1002023,K,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,ESL Grade K - Dougherty - Period 7-6329fa57e434967a59140d53; Homeroom K - Eugene - Homeroom PS-62c47c737082816f437258e1; Mathematics K - Eugene - Period 14-62f693766c6b433381175d31; Reading K - Eugene - Period 5-62fa4e36c252017f1f56294b; Science K - Eugene - Period 10-62fbb3244ef1494353591b4e; Small Group Instruction/What I Need K - Eugene - Period 13-62fa51354736b34e5e7da824; Small Group Instruction/What I Need K - Eugene - Period 3-62fa5465035865068d0f3f81; Structured Play K - Gonzalez Giraldo - Period 11-62f693766c6b433381175d2d,"Brady, Jacquelyn; Dougherty, Erin; Eugene, Christina; Gonzalez Giraldo, Isabella; Mason, Sesheni",All PS Reading; Kindergarten Reading; PS ESL; Primary School,06/06/2023,06/06/2023,N,Y,48,,364,Early K,Early On Grade Level,20,2,BR400L,BR400L-BR395L,386,Early / Mid K,Early On Grade Level,283,Emerging K,1 Grade Level Below,321,Emerging K,1 Grade Level Below,397,Mid / Late K,Mid or Above Grade Level,400,Mid / Late K,Mid or Above Grade Level,396,Mid / Late K,Mid or Above Grade Level,403,Mid / Late K,Mid or Above Grade Level,33,49,67,67,49,396,N
iReady 4,ELA,1022014,8,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,"Algebra I - Nelson - Period 13-630647b14839ae3b4b0b9d30; Current Events 8 - Joyner - Period 11-639232b2f0d9f002dd40f468; ELA 8 - Fergusson - Period 3-6306414edec4186a935552a8; Homeroom 8 - Nelson - Homeroom MS-62c47c737082816f437258d0; Music 8 - Villamil Gomez - Period 6-63065c114d1c76105a6c2ef8; Science 8 - Davis - Period 8-63064681dbb9dd4f943007a2; Social Studies, History, and Geography 8 - Henry - Period 10-63065a5c19a57649536a7386","Davis, Georgette; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; Nelson, Jaclyn; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",8th Grade Reading; All MS Scholars; All MS Students; MS Tier 2 iReady 2 ELA,06/06/2023,06/06/2023,N,Y,118,,629,Early 8,Early On Grade Level,56,3,1145L,1045L - 1195L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,604,Level 7,1 Grade Level Below,643,Mid 8,Mid or Above Grade Level,624,Early 8,Early On Grade Level,662,Mid 8,Mid or Above Grade Level,38,12,36,317,106,642,Not Provided
iReady 4,ELA,1172018,4,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,Homeroom 4 - Shugars - Homeroom IS-62c47c737082816f437258dd; Mathematics 4 - Turner - Period 3-62f2b003e76095168154001a; Reading 4 - Shugars - Period 13-62f2b003e76095168154000e; Science 4 - Shugars - Period 7-62f2b003e76095168153fffe; Small Group Instruction/What I Need 4 - Shugars - Period 11-62f6a39a9d2533345d748d8c,"Moore, Andrea; Shugars, Emily; Turner, Inayah",4th Grade Reading; All IS Reading; IS 504,06/06/2023,06/06/2023,N,Y,36,,351,Level K,3 or More Grade Levels Below,1,1,BR115L,BR215L-BR65L,,Tested Out,Mid or Above Grade Level,319,Level K,3 or More Grade Levels Below,326,Level K,3 or More Grade Levels Below,389,Level K,3 or More Grade Levels Below,351,Level K,3 or More Grade Levels Below,348,Level K,3 or More Grade Levels Below,354,Level K,3 or More Grade Levels Below,1,28,62,4,2,579,Not Provided
iReady 4,ELA,1002019,3,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,ESL Grades 3-5 - Desai - Period 7-632b40559874d355ad07947a; Homeroom 3 - Acevedo - Homeroom IS-62c47c737082816f437258d9; Mathematics 3 - Swaby - Period 3-62f2b003e760951681540017; Reading 3 - Acevedo - Period 7-62f2b003e76095168154000a; Science 3 - Jones - Period 14-62f2b003e760951681540000; Small Group Instruction/What I Need 3 - Jones - Period 5-62f6a39a9d2533345d748d8a,"Acevedo, Tiffany; Desai, Laura; Jones, Cierra; Swaby, Chisoney",3rd Grade Reading; All IS Reading; IS ESL,06/06/2023,06/08/2023,N,Y,89,,535,Early 3,Early On Grade Level,50,5,720L,620L-770L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,535,Early 3,Early On Grade Level,535,Early 3,Early On Grade Level,522,Early 3,Early On Grade Level,548,Mid 3,Mid or Above Grade Level,43,26,40,165,108,545,N
iReady 4,ELA,1002020,2,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 2 - Del Rosario - Homeroom PS-62c47c737082816f437258e0; Mathematics 2 - Wright - Period 14-62f693c16b50b95cca1b4ff9; Reading 2 - Zalot - Period 3-6311008874fc9c462467db72; Science 2 - Del Rosario - Period 6-62fa506e8914f13d8a6cb7f9; Small Group Instruction/What I Need 2 - Del Rosario - Period 11-631f46170d210e04a75e8370; Small Group Instruction/What I Need 2 - Del Rosario - Period 13-631f5878e8ee8f670a399763; Structured Play 2 - Gonzalez Giraldo - Period 10-62f693c16b50b95cca1b4ff7,"Brady, Jacquelyn; Cesar-Joisil, Daphnir; Del Rosario, Gina; Gonzalez Giraldo, Isabella; Wright, Ryan; Zalot, Amy",2nd Grade Reading; All PS Reading; Catapult Tutoring with Added Students; Catapult Tutoring- Original; Primary School; Second Grade Tier 3; Updated Catapult Tutoring,06/06/2023,06/06/2023,N,Y,62,,424,Level 1,1 Grade Level Below,10,1,215L,115L-265L,433,Level 1,1 Grade Level Below,379,Level K,2 Grade Levels Below,436,Level 1,1 Grade Level Below,439,Level 1,1 Grade Level Below,428,Level 1,1 Grade Level Below,433,Level 1,1 Grade Level Below,423,Level 1,1 Grade Level Below,14,44,81,32,17,513,Y
